id,species,family,subfamily,identification,wingspan,caterpillarhost,adultfood,habitat,flight,range
183,Hesperia comma,Hesperiidae,Hesperiinae,"Wings relatively short with rounded forewing tips. A northern form (H. c. laurentina) is dark above and below. Band on hindwing underside usually lustrous, spots separate, basalmost spot often set inward as in H. juba and H. nevada.",1 1/8- 1 1/4 inches (2.2 - 3.0 cm).,Various grasses and sedges.,"Nectar from many flowers including asters, goldenrods, and blazing star.","Sunny open areas including forest openings and edges, meadows, fields, tundra, and the alpine.","One flight from early June to mid-September, probably biennial and Arctic.","Holarctic. In North America from central Alaska east to Labrador; south to northern Rockies, Great Lakes states, and Maine."
184,Hesperia dacotae,Hesperiidae,Hesperiinae,"Forewings are stubby. Upperside is golden-orange with blurry dark markings; stigma of male forewing has black felt inside it; forewing of female has a white transparent spot below the end of the cell. Underside of the hindwing is yellow-orange in the male, brown-gray in the female; both with or without a faint band of spots.",1 - 1 3/8 inches (2.5 - 3.5 cm).,"Little bluestem (Andropogon scoparius), bluegrass (Poa pratensis), and panic grass (Panicum).","Nectar from a variety of flowers including prairie coneflower, purple coneflower, blanket flower, fleabane, black-eyed susans, ox-eye daisy, and harebell.",Rolling hills of native tall-grass prairie.,One brood from mid-June to early August.,"Southern Manitoba and western North Dakota to western Minnesota, south to northwest Iowa."
185,Hesperia juba,Hesperiidae,Hesperiinae,"Male is bright orange-brown with a dark border that is toothed inwardly. Female is larger than male, with more and brighter markings. Underside of hindwing is a slightly greenish brown, with large jagged white spots. Basal spot on submarginal row is displaced inwardly.",1 1/4 - 1 5/8 inches (3.2 - 4.2 cm).,"Slender hairgrass (Deschampsia elongata), needlegrass (Stipa), foxtail brome (Bromus rubens), and bluegrass (Poa pratensis).",Nectar from flowers including rabbitbrush.,"Sagebrush, chaparral, hilly grasslands, open woodland.",Two broods from May-June and August-September.,"British Columbia south to southern California; east to Montana, Wyoming, Colorado, and northwest New Mexico."
186,Hesperia metea,Hesperiidae,Hesperiinae,Wings are dark brown or blackish with few light areas. Underside of hindwing has a cobwebbed appearance due to white spots extending along the veins. Subspecies licinus in Texas and Arkansas is very dark both above and below.,1 1/8 - 1 3/8 inches (2.9 - 3.5 cm).,Beard grasses including little bluestem (Andropogon scoparius and A. s. var. glomeratus) and big bluestem (A. gerardi).,"Nectar from flowers of low-growing plants such as Labrador tea, wild strawberry, blackberry, bird's-foot violet, winter cress, and red clover; also lilac, vervain, Carolina larkspur, and wild hyacinth.","Dry, grassy openings in woods, pine barrens, oak savannah, open sandy scrub, burned areas, old pastures.",One brood from late March to early June.,"Patchy distribution from southern Maine west to Wisconsin; south to central Georgia, the Gulf States, and central Texas."
187,Hesperia ottoe,Hesperiidae,Hesperiinae,"Upperside is bright brownish orange; male has narrow black edging on the outer margins of both wings, female is brighter with diffuse borders. Stigma on male forewing has black or gray felt. Underside of hindwing is yellow-orange; no markings in the male, sometimes with faint markings in the female.",1 1/4 - 1 11/16 inches (3.2 - 4.3 cm).,"Fall witchgrass (Leptoloma cognatum), little bluestem (Andropogon scoparius), and other grasses.","Nectar from flowers of green and common milkweeds, yellow prickly pear, vetch, alfalfa, bush houstonia, purple coneflower, leadplant, compassplant, sunflower, and blazing star.",Native tall-grass prairie.,One brood from June-August.,Southern Manitoba and eastern Montana south along the high plains to north Texas; east through Nebraska and Kansas to central Illinois and southwest Michigan.
188,Hesperia uncas,Hesperiidae,Hesperiinae,"Wings are brownish orange. Underside of hindwing has white veins, white spots extended along the veins, and black submarginal patches.",1 1/8 - 1 5/8 inches (2.9 - 4.2 cm).,Blue grama grass (Bouteloua gracilis) and needlegrass (Stipa).,Flower nectar.,"Short-grass prairie, sagebrush, open woodland.",One brood from June-July in high elevations; two broods from May-September in the remainder of the range.,"High plains from central Alberta east to southern Manitoba; south to east-central California, southeast Arizona, west and north Texas; south to southern Mexico. A stray to southwest Iowa and eastern Minnesota."
189,Hesperopsis libya,Hesperiidae,Pyrginae,Fringes are white and not checkered. Upperside is dark brown with 2 rows of small white spots on the forewing; hindwing may have some white spots. Underside of hindwing is light to dark brown with a pale gray overlay and few to many white spots.,7/8 - 1 1/4 inches (2.2 - 3.2 cm).,Shadscale (Atriplex canescens) in the goosefoot family (Chenopodiaceae).,Flower nectar.,Desert washes and alkali flats with shadscale.,One brood in North Dakota and Montana from July-August; two broods in Colorado from June-August; several broods in southern California from March-October.,"Eastern Oregon east to Montana; south to southern California, Arizona, Baja California, and northwestern mainland Mexico."
190,Hoary comma,Nymphalidae,Nymphalinae,"Upperside is dark red-orange, borders darker; hindwing with yellow submarginal spots. Underside is gray-brown; outer half much lighter, frosted white or silver-gray. Silver spot at center of hindwing is fishhook-shaped.",1 1/2 - 2 1/4 inches (3.9 - 5.7 cm).,"Currants and gooseberries (Ribes), western azalea (Rhododendron occidentale), and mock azalea (Menziesia glabella).",Sap and nectar from flowers of sweet everlasting (Gnaphalium) among others.,"From foothills to treeline woodland streamsides, brushlands.","Overwintered adults emerge and lay eggs in the spring until June; the new generation appears in July and flies until September, then hibernates.",Boreal North America south of the tundra. Central Alaska south to central California and northern New Mexico; east across southern Canada and the Great Lakes region to New England and the Maritimes.
191,Hobomok skipper,Hesperiidae,Hesperiinae,"Wings are rounded. Upperside of male is yellow-orange with irregular black borders and no stigma; underside of hindwing has purple-gray on the inner margin. Female has 2 forms: Upperside of normal form is duller and has less orange than the male; underside of hindwing is orange with purple-gray at the inner margin. Upperside of ""pocahontas"" form is purple-black with some dull white spots on the forewing; underside is purple-black with the pattern obscured.",1 - 1 11/16 inches (2.5 - 4.3 cm).,Various grasses including panic grasses (Panicum) and bluegrasses (Poa).,"Nectar from flowers including common milkweed, henbit, viper's bugloss, and blackberry.","Openings and edges of damp woods, edges of bogs, light gaps along streams, city parks.",One brood from April-July.,"Nova Scotia west across southern Canada to central Alberta; south to New Jersey, northern Georgia, Arkansas, central Kansas, and eastern Oklahoma. An isolated population ranges from central Colorado to northern New Mexico."
192,Holly blue,Lycaenidae,Polyommatinae,"Upperside of male all pale blue, sometimes with white scaling on hindwing. Female blue with small black area on forewing tip. Underside of hindwing pale gray with pale dark gray markings.",1 1/4 - 1 1/2 inches (3.2 - 3.9 cm).,Hollies (Ilex species).,Flower nectar.,"Rich, deciduous woods, especially near streams and acid bogs.","One flight from late February to early June, early in south of range, later in north. Usually flies after spring flight of Spring Azure.",Atlantic coastal plains from central New Jersey south to South Carolina.
193,Hylephila phyleus,Hesperiidae,Hesperiinae,Antennae are very short. Male wide black stigma. Underside of the hindwing is scattered with small black spots. Female: Upperside is dark brown with a very irregular orange band. Underside of hindwing is pale brown with paler checks.,1 1/4 - 1 1/2 inches (3.2 - 3.8 cm).,"Bermuda grass (Cynodon dactylon), crabgrass (Digitaria), St. Augustine grass (Stenotaphrum secundatum), and other grasses.","Nectar from flowers of a variety of plants including sweet pepperbush, swamp milkweed, asters, sneezeweed, knapweed, ironweed, and thistles.","Sunny, open areas such as fields, lawns, gardens, levees, roadsides, and second-growth scrub.","Several broods from May-August in the north, all year in Florida and South Texas.","Southern United States south through the West Indies and Central America to Argentina. Cannot survive harsh winters; each summer this skipper may stray and re-colonize north to northern California, southern Minnesota, southern Ontario, and southern New England."
194,Icaricia icarioides blackmorei,Lycaenidae,Polyommatinae,"Upperside of male lilac-blue with dark borders. Female may be brown, or blue with wide dark borders. Below, black or white postmedian spots are larger on forewing than on hindwing.",1 1/8 - 1 3/8 inches (2.9 - 3.5 cm).,Various lupine species (Lupinus) in the pea family.,Nectar from flowers including Eriogonum and various composites.,"Forest clearings and edges, prairie, sagebrush, chaparral, coastal dunes, fields.",April-August depending on location.,"British Columbia east to the western edge of the Great Plains, south to New Mexico, Arizona, southern California, and Baja California."
195,Icaricia lupini,Lycaenidae,Polyommatinae,"Upperside of male lilac blue with wide dark borders; female dark brown. Band at hindwing outer margin wide, orange-red, in male may be divided into separate chevrons.",7/8 - 1 1/8 inches (2.2 - 2.9 cm).,Several species of perennial wild buckwheat including sulfur flower (Eriogonum umbellatum) and flat top (Eriogonum fasciculatum) in the buckwheat family (Polygonaceae).,Flower nectar.,"Alpine slopes, mountain meadows and slopes, prairies, rocky outcrops, chaparral, and sagebrush.","In the Sierra Nevada of California, one flight from June-August; elsewhere, several flights from March-July.",Southwestern Canada south through much of mountainous and intermountain West and high plains to northern Mexico.
196,Junonia coenia,Nymphalidae,Nymphalinae,"Upperside is brown. Forewing with 2 orange cell bars and 2 eyespots; part of white subapical band appears in the largest, lower eyespot. Hindwing has 2 eyespots; upper one is largest and contains a magenta crescent. Underside of hindwing is brown or tan in the wet season (summer) form and rose-red in the dry season (fall) form.",1 5/8 - 2 3/4 inches (4.2 - 7 cm).,Plants from the snapdragon family including snapdragon (Antirrhinum) and toadflax (Linaria); the plantain family including plantains (Plantago); and the acanthus family including ruellia (Ruellia nodiflora).,"Favorite nectar sources are composites including aster, chickory, gumweed, knapweed, and tickseed sunflower. Dogbane, peppermint, and other flowers are also visited.","Open, sunny areas with low vegetation and some bare ground.","Two to three broods from May-October, throughout the year in the Deep South.","Resident in the southern United States and north along the coasts to central California and North Carolina; south to Bermuda, Cuba, Isle of Pines, and southern Mexico. Adults from the south's first brood migrate north in late spring and summer to temporarily colonize most of the United States and parts of southern Canada. Comments: The eyespots may be used to scare away predators."
197,Junonia evarete,Nymphalidae,Nymphalinae,Upperside is brown; wide forewing band is white diffused with brown or orange; large eyespot is edged with brown internally. Lower eyespot on forewing and upper eyespot on hindwing are about the same size. Underside of hindwing is brown; median band is fairly straight. Form nigrosuffusa is very dark brown; forewing band is dark orange or lacking.,1 3/4 - 2 1/4 inches (4.5 - 5.7 cm).,"Stemodia, lippia, ruellia, and porterweed.",Flower nectar.,"Open tropical lowlands including fields, brushlands, sandy islands.","Three to four broods from March-October, adults overwinter from October-March.","Southern New Mexico, southern Arizona, South Texas, and southern Florida south through the West Indies, Mexico, and Central America to Argentina. Rare wanderer to southeastern California, southeastern Colorado, and central Florida. Comments: The eyespots are used to frighten predators."
198,Junonia genoveva,Nymphalidae,Nymphalinae,"Upperside is brown; forewing has a narrow orange band which rings the large eyespot; eyespot is never ringed with brown. Underside of the hindwing is brown, usually without bands or eyespots; median band is jagged.",1 3/8 - 2 1/4 inches (3.5 - 5.7 cm).,Black-mangrove.,Flower nectar.,Tidal flats and black-mangrove swamps.,Several broods from March-October.,"Atlantic coast of Mexico north to South Texas, the West Indies, and extreme southern Florida."
199,Karner blue,Lycaenidae,Polyommatinae,Upperside of male blue with narrow dark border; female brown with blue tinge. Underside with continuous black line along outer margin of both wings. Red-orange submarginal row is continuous in subspecies melissa and divided into separate spots in subspecies samuelis (Karner Blue).,7/8 - 1 3/8 inches (2.2 - 3.5 cm).,"Lupine (Lupinus perennis) for the Karner Blue. The western population feeds on various legumes of the pea family including Astragalus, Glycyrrhiza, Lotus, Lupinus, and Medicago species.",Not reported.,"Karner Blue (subspecies samuelis) inhabits sandy pine prairies, barrens, and lakeshore dunes in the east. Subspecies melissa is found in the west in open, weedy areas and prairies.",Two broods from May-August for the Karner Blue (subspecies samuelis) in the East; three broods from April-October for subspecies melissa in the West.,"The small, isolated colonies of the Eastern population (subspecies samuelis) occur from southern New Hampshire and central New York west to Wisconsin. The western population (subspecies melissa) is found in the Intermountain West from Canada to Baja California, plains, and prairies east to northwestern Iowa and southwestern Minnesota."
200,Kricogonia lyside,Pieridae,Coliadinae,Tip of forewing square-shaped. Upperside forewing of male white with yellow basal area; often with vertical black bar at wing edge. Underside of hindwing has raised veins and satin sheen. Females occur in both yellow and white forms. Both sexes are extremely variable.,1 1/2 - 2 3/8 inches (3.8 - 6 cm).,Plants in the Zygophyllaceae family vitae (Guaiacum sanctum) in southern Florida and Porliera angustifolia in Texas.,Flowers of black mangrove and shepherd\'s needle have been used as nectar sources in southern Florida.,Tropical scrub lowlands and seasonally dry forests.,"Throughout the year in South Texas, April-August in Florida and to the north and east.","Venezuela north to southern Texas, where it occurs in great numbers. Rare in southern Florida; strays to Colorado, Nebraska, Kentucky, and other states."
201,Lasaia sula,Riodinidae,Riodininae,Male metallic blue-green above; female checkered gray with black spots.,7/8 - 1 1/4 inches (2.2 - 3.2 cm).,Albizia in the pea family (Fabaceae).,Not reported.,"Open subtropical forests and edges, agricultural areas.",April-December in South Texas.,Lower Rio Grande Valley in Texas south to Honduras.
202,Leptotes cassius,Lycaenidae,Polyommatinae,"Upperside of males pale blue; females with white patches. Underside tan with broken pale lines; forewing inner margin has ""blank"" areas with no spots.",3/4 - 1 3/8 inches (2 - 3.5 cm).,"Ornamental leadwort (Plumbago capensis), rattlebox (Crotalaria incana), hairy milk pea (Galactia volubilis), and lima bean (Phaseolus limensis). Larva has been reared on the crenulate lead plant, Amorpha crenulata.","Nectar from shepherd's needle, lippia, and many other flowers.","Subtropical thorn scrub, forest edges, weedy fields, residential areas.",All through the year in southern Florida and South Texas. Number of broods has not been determined.,"Florida and the Keys; Texas south through the West Indies, Mexico, and Central America to South America. Strays to New Mexico, Kansas, Missouri, and South Carolina."
203,Leptotes marina,Lycaenidae,Polyommatinae,"Upperside blue; male with purple tinge, female with no white. Underside of forewing with unbroken pale brown bands from costa to inner margin.",7/8 - 1 1/8 inches (2.2 - 2.9 cm).,"Leadwort (Plumbago) and many legumes including alfalfa (Medicago sativa), milkvetch (Astragalus), and mesquite (Prosopis).",Flower nectar.,"Subtropical and southwestern open areas including mesquite scrub, city gardens, desert, alfalfa fields, and waste areas.","April-September in the north, all through the year in South Texas and southern California.","Southern California east through the Southwest, Mexico and Baja California to Guatemala. Wanders and temporarily colonizes north to Wisconsin, Indiana, Kentucky, and Louisiana."
204,Lerema accius,Hesperiidae,Hesperiinae,Wings are dark brown. Upperside of male forewing has a dark black stigma; female forewing has transparent white spots. Underside of hindwing has dark and light patches and a violet-blue sheen.,1 1/4 - 1 3/4 inches (3.2 - 4.5 cm).,"Various grasses including St. Augustine grass (Stenotaphrum secundatum), wooly beard grass (Erianthus alopecturoides), and Echinochloa povietianum.","Various pink, purple, or white flowers including shepherd's needle, selfheal, vervain, buttonbush, and lantana.",Forest edges and clearings near rivers and swamps.,Throughout the year in Florida and South Texas.,Georgia east to Texas; south to Florida; south through Mexico and Central America to Venezuela and Colombia.
205,Lerodea eufala,Hesperiidae,Hesperiinae,"Upperside is gray-brown; forewing has 3-5 small transparent spots; male has no stigma. Underside of hindwing is brown with heavy gray overscaling, only rarely with faint spots.",1 - 1 1/4 inches (2.5 - 3.2 cm).,"Various grasses including Johnson grass (Sorghum halepense), Bermuda grass (Cynodon dactylon), and sugarcane (Saccharum officinarum).","Nectar from flowers including croton, alfalfa, composites, lippia, and others.","Open, sunny areas such as vacant lots, agricultural areas, road edges, and lawns.","Two broods from February-October in the Deep South; several broods throughout the year in Florida, South Texas, and Arizona.","Resident from coastal Georgia south through Florida and west across the southern United States to southern California; south through Mexico and Central America to Patagonia. Expands its range northward in the summer to central California, North Dakota, southern Wisconsin, northern Michigan, and Washington, D. C."
206,Limenitis arthemis,Nymphalidae,Limenitidinae,"These two very different forms had once been considered separate species. WHITE ADMIRAL: Upperside is black with broad white median bands on both wings; hindwing has a marginal row of blue dashes and a submarginal row of red dots. Underside is reddish-brown with white median bands as on the upperside. RED-SPOTTED PURPLE: Upperside is blue to blue-green with much iridescence on the outer part of the hindwing. Underside is dark brown. Forewing has 2 red-orange bars near the base of the leading edge; hindwing has 3 red-orange spots near the base and a submarginal row of red-orange spots. The two forms hybridize where their ranges overlap, creating various intermediate forms which may be found in or near the overlap zone.",2 1/4 - 4 inches (5.7 - 10.1 cm).,"Leaves of many species of trees and shrubs including wild cherry (Prunus), aspen, poplar, cottonwood (Populus), oaks (Quercus), hawthorn (Crataegus), deerberry (Vaccinium stamineum), birch (Betula), willows (Salix), basswood (Tilia), and shadbush (Amelanchier).","Sap flows, rotting fruit, carrion, dung, and occasionally nectar from small white flowers including spiraea, privet, and viburnum. White Admirals also sip aphid honeydew.","The White Admiral form is usually found in the north in deciduous broad-leaf or mixed evergreen forests dominated by aspen or birch. The Red-Spotted Purple form is usually found further south than the White Admiral, in deciduous or mixed forests, moist uplands, valley bottoms, and coastal plains.",Two broods from April-October.,"Alaska and subarctic Canada southeast of the Rocky Mountains to central Texas; east to New England and central Florida. Isolated populations in Arizona, New Mexico, and west Texas south into Mexico. The White Admiral form usually occurs north of a line through north central New England, New York, Pennsylvania, Michigan, and Minnesota. The Red-spotted Purple form is usually found south of this line. Much hybridization occurs where these forms meet. Comments: The Red-spotted Purple is a mimic of the poisonous Pipevine Swallowtail (Battus philenor)."
207,Limenitis weidemeyerii,Nymphalidae,Limenitidinae,Upperside is black with a white median band on both wings; submarginal areas of hindwing are black. Underside is brown with white markings repeated; base of hindwing is gray-white with dark crosslines; marginal spots on hindwing are gray-white.,2 1/4 - 3 3/4 inches (5.7 - 9.5 cm).,"Aspen and cottonwood (Populus), willows (Salix), ocean spray (Holodiscus), and shadbush (Amelanchier).","Tree sap, carrion, flower nectar.","Deciduous forest, streamsides in coniferous forests, aspen groves, small towns, suburbs.",One or two broods from June-September.,"Southern Alberta south to Nebraska and east-central California, southeastern Arizona and southern New Mexico."
208,Long-tailed skipper,Hesperiidae,Pyrginae,Tails are long. Upperside is dark blackish brown; body and wing bases are iridescent blue-green. Males have a costal fold enclosing scent scales on the leading edge of the forewing. Dark row on underside of hindwing is a complete band.,1 3/4 - 2 5/16 inches (4.5 - 6 cm).,"Vine legumes including various beans (Phaseolus), hog peanuts (Amphicarpa bracteata), beggar's ticks (Desmodium), blue peas (Clitoria), and wisteria (Wisteria).","Flower nectar from a variety of plants including bougainvillea, lantana, and shepherd's needle.","Brushy fields, edges of woods, gardens, and other disturbed open habitats.",Two to three broods throughout the year in south Florida and South Texas.,"Argentina north through Central America, the West Indies, and Mexico to peninsular Florida and South Texas. Occasionally strays and colonizes north to Connecticut, southern Illinois, eastern Kansas, southern Arizona, and southern California."
209,Lorquin's admiral,Nymphalidae,Limenitidinae,Upperside is black with white median bands on both wings; tip of forewing is orange-brown. Underside is reddish-brown with white markings.,2 - 2 5/8 inches (5.1 - 6.7 cm).,"Wild cherry (Prunus), willows (Salix), poplar and cottonwood (Populus), and orchard trees.","Flower nectar from plants including California buckeye, yerba santa, and privet; bird droppings; and dung.","Forest edges, mountain canyons, orchards, parks, streamsides, fencerows and groves of cottonwood and poplar.","April-October. Several flights in California, probably one flight in the northern part of its range.","British Columbia south to southern California and Baja California, east to western Montana and Idaho."
210,Lycaena dorcas,Lycaenidae,Lycaeninae,"Upperside brown; male with blue-purple iridescence, female with few light areas. Hindwing with a few red-orange spots on border near anal angle. Underside is orange-brown.",1 - 1 1/4 inches (2.5 - 3.2 cm).,Shrubby cinquefoil (Potentilla fruticosa) and other cinquefoils.,Not reported.,"Edges of bogs, old brushy fields, open places near small streams.",One flight from June-September.,"Boreal Alaska and Canada south to Washington, east to eastern Ontario and the northern Great Lakes states. Isolated population in Maine."
211,Lycaena epixanthe,Lycaenidae,Lycaeninae,Upperside of male brownish with purple iridescence; female dull gray-brown. Underside of both sexes white or pale tan; hindwing with very small black spots and red zigzag border on outer margin.,7/8 - 1 inch (2.2 - 2.5 cm).,Shrubby cranberries in the heath family (Ericaceae).,Water from raindrops and nectar from cranberry flowers.,Acid bogs with cranberries and other Ericaceae.,One flight from June-September.,Maine south to New Jersey and West Virginia; west through northern Great Lake states and Ontario.
212,Lycaena heteronea,Lycaenidae,Lycaeninae,"Upper surface of male bright blue, with darker veins; female dull blue to dark brown with numerous small dark spots. Underside of both sexes white to yellow-white; hindwing varies from having many to few black spots.",1 1/8 - 1 3/8 inches (2.9 - 3.5 cm).,Wild buckwheat (Eriogonum species) in the buckwheat family (Polygonaceae).,"Nectar from flowers, including wild buckwheat.","Brushy areas, open forest, mountain meadows, sagebrush; mostly at high elevations except for low elevations in central California.",One flight from May-August.,"British Columbia south and east through southcentral California, northern Arizona, and northern New Mexico."
213,Lycaena hyllus,Lycaenidae,Lycaeninae,Upperside of male iridescent copper-brown; female forewing yellow-orange with black spots. Underside forewing of both sexes orange with black spots; underside hindwing is gray-white with black spots and a broad orange outer margin.,1 1/4 - 1 7/8 inches (3.2 - 4.8 cm).,Herbs of the buckwheat family (Polygonaceae) including curly dock (Rumex crispus).,"Adults visit flowers only occasionally, but have been seen taking nectar at blackberry and red clover.","Low, wet areas such as bogs, marshes, wet meadows, ponds.","Two in the north and west, from June-September; three in southern part of range, from May-November.","Maine west across southern Canada and the Great Lake states to eastern Montana and central Colorado; south to Arkansas, Mississippi, West Virginia, and Maryland."
214,Lycaena phlaeas,Lycaenidae,Lycaeninae,"Upper surface of forewing shiny, fiery orange-red with black spots; hindwing gray with orange-red outer margin. Underside gray; hindwing with submarginal row of orange-red zigzags.",7/8 - 1 3/8 inches (2.2 - 3.5 cm).,"Herbs of the buckwheat (Polygonaceae) family including sheep sorrel (Rumex acetosella), curled dock (Rumex crispus), and Oxyria digyna.","Nectar from many flowers including common buttercup, white clover, butterflyweed, yarrow, ox-eye daisy, and various composites.","In disturbed places in the East including pastures, landfills, vacant lots, road edges, old fields; rocky places in alpine habitats, and tundra in the arctic.",One flight from July-September for alpine and arctic populations. Two flights in the north from June-July and August-September; three flights in the south from April-September.,"Nova Scotia south to Georgia, Tennessee, and Arkansas; west across Great Lake states to North Dakota. Native populations found in the Arctic and the western mountains. Comments: Eastern and midwest populations probably result from an introduction from Scandinavia during the colonial period."
215,Lycaena rubidus,Lycaenidae,Lycaeninae,Upperside of male bright red-orange; female duller orange-brown to dark brown. Underside of both sexes gray-white to gray-yellow; hindwing with or without muted black spots.,1 1/8 - 1 5/8 inches (2.9 - 4.1 cm).,Dock (Rumex) species in the buckwheat family (Polygonaceae).,Flower nectar.,"Dry gravelly or sandy areas such as arid streamsides, sagebrush, scrub, dry fields, alluvial washes.",One flight from June-July at lower elevations; from July-August at higher elevations.,"British Columbia east to North Dakota; south to central California, and northern New Mexico."
216,Magdalena alpine,Nymphalidae,Satyrinae,Wings are black above and below. Subspecies erinnyn has an orange tinge on the forewings.,1 3/4 - 2 inches (4.5 - 5.1 cm).,"Probably grasses, sedges, and/or rushes.",Flower nectar.,"Rockslides near vegetation, at or above treeline.",One brood from late June-July.,"Alaska's Brooks Range; high mountains of Colorado, western Wyoming, and northeast Utah."
217,Marpesia petreus,Nymphalidae,Limenitidinae,"Tip of forewing is elongated. Hindwing has long dagger-like tails. Upperside is orange with 3 thin black lines. Underside is mottled brown and black, resembling a dead leaf.",2 3/4 - 3 3/4 inches (7 - 9.5 cm).,Common fig (Ficus carica) and wild banyan tree (F. citrifolia) in the fig family (Moraceae).,"Nectar from giant milkweed in Florida; Cordia, Casearia, Lantana, and Mikania in the tropics.",Tropical lowland forests and edges; hardwood hammocks.,"Most of the year in Florida, but are most common from May-July.","Brazil north through Central America, Mexico, and the West Indies to southern Florida. Strays north to Arizona, Colorado, Nebraska, Kansas, and South Texas."
218,Megathymus cofaqui,Hesperiidae,Megathyminae,Forewing is relatively short and blunt. Upperside is black; forewing has a broad yellow band that arches inward to the middle of the costa; hindwing has long hairlike scales at the base. Underside of hindwing is gray with small white spots.,1 15/16 - 2 7/16 inches (5 - 6.3 cm).,"Bear grass (Yucca filamentosa), Spanish bayonet (Y. aloifolia), and Small's yucca (Y. smalliana).","Adults do not feed, but males sip moisture from mud.","Coastal dunes, pinewoods, shrubland.",One brood in Georgia from July-September; two broods in Florida from March-November.,"Two isolated populations panhandle, and peninsular Florida."
219,Megathymus streckeri,Hesperiidae,Megathyminae,"Forewings are wide. Upperside is black; forewing has white spots near the tip and a yellow band; hindwing has a white to yellow marginal band and long hairlike scales. Underside of hindwing is gray or mottled gray and black, and has few to several white spots.",2 1/4 - 3 1/16 inches (5.7 - 7.8 cm).,"Small soapweed (Yucca glauca), Buckley yucca (Y. constricta), fineleaf yucca (Y. angustissima), and Bailey's yucca (Y. baileyi).","Adults do not feed, but males sip moisture from mud.","Sand hills, rocky bluffs, short-grass prairie, shrubland, open woodland.",One brood from May-July.,"Southeastern Montana and southwestern North Dakota south to South Texas, west to northwestern Arizona and southwestern Utah."
220,Megathymus yuccae,Hesperiidae,Megathyminae,Very large and robust. Forewing is long and pointed. Upperside is black; forewing with a yellow band near the lower outer margin and small white spots near the tip and costa; hindwing with a yellow band on the outer margin. Females may have orange-yellow to yellow spots on the hindwing. Underside of hindwing is gray with white spots on the costa.,1 7/8 - 3 1/8 inches (4.8 - 7.9 cm).,"Various yuccas including bear grass (Yucca filamentosa), Small's yucca (Y. smalliana), Spanish dagger (Y. gloriosa), (Y. elata), and (Y. arizonica) and Spanish bayonet (Y. aloifolia).","Adults do not feed, but males take moisture at mud.","Coastal dunes, open yucca flats, desert canyons, open woodland, grassland, and old fields.",One brood from mid-February to mid-May.,"Western population east to Nebraska and east Texas, south to northern Mexico. Southeastern population: Southeast Virginia south to southern peninsular Florida, west to Arkansas and Louisiana."
221,Megisto cymela,Nymphalidae,Satyrinae,Light brown. Forewing has 2 yellow-rimmed black eyespots both above and below. Hindwing has 2 eyespots on upper side; but may have smaller spots below.,1 1/2 - 1 7/8 inches (3.8 - 4.8 cm).,Orchard grass (Dactylis glomerata) and centipede grass (Eremochloa ophiuroides).,"Sap, aphid honeydew, and rarely flower nectar.","Grassy woods and openings, old fields; especially in limey or basic soils.",One brood from June-July in the north; two to three broods from March-September in the south.,"Eastern Nebraska and northeastern Colorado south to eastern Texas; east through all of the eastern United States except northern New England, southern peninsular Florida, and coastal Louisiana."
222,Ministrymon azia,Lycaenidae,Theclinae,Tiny; tailed. Wings gray; underside hindwing with narrow postmedian line of orange bordered with white.,5/8 - 15/16 inch (1.6 - 2.4 cm).,Mimosa malacophylla in lower Rio Grande Valley; Leucaena leucocephala and wild tamarind (Lysiloma bahamensis) in southern Florida.,"Seen nectaring at Leucaena leucocephala, Melilotus alba, Cynoglossum amabile, Bidens alba, Turnera ulmifolia, Mimosa pudica, and Acacia species.",Subtropical thorn scrub.,March-September in Florida and Texas; throughout the year in most of the tropics.,"Brazil through Central America, Mexico, and the West Indies to South Texas, southern Florida, and the Keys."
223,Ministrymon clytie,Lycaenidae,Theclinae,Tailed. Upperside silver-blue; underside pale gray. Forewing with orange median dash; hindwing has 2 lines of orange dashes.,3/4 - 7/8 inch (1.9 - 2.2 cm).,Blackbeads (Pithecellobium species) in the pea family (Fabaceae).,Flower nectar including blackbead.,"Tropical forest openings, subtropical thorn forests.",February-December in South Texas.,Northwest Costa Rica north through Mexico to South Texas. Strays into southern Arizona.
224,Myscelia cyananthe,Nymphalidae,Biblidinae,Upperside is black with iridescent blue bands; center of forewing is black without bands.,Not reported.,Not reported.,Rotting fruit.,Subtropics.,Many flights throughout the year in Mexico.,Subtropical Mexico. A rare stray to South Texas and New Mexico.
225,Myscelia ethusa,Nymphalidae,Biblidinae,Forewing apex is truncated. Upperside is black with iridescent blue bands; outer half of forewing has white spots.,2 1/2 - 3 inches (6.4 - 7.6 cm).,"In the tropics, Dalechampia in the spurge family (Euphorbiaceae).",Rotting fruit.,Stream valleys with dry scrub or scattered tropical forest.,Many flights throughout the year in South Texas.,"Colombia north through Central America to Mexico. Periodically strays and lives in the lower Rio Grande Valley, Texas."
